,0
"Eluru(P.Sri.Mkt),RBZ",1218
"Eluru-II,RBZ",1220
Emani,910
English Bazar,358
Enkoor,2208
Enkoor,8029
Ernakulam,133
Erode,294
Erragadda(Rythu Bazar),4294
"Erragadda,RBZ",1254
Etah,678
Etawah,328
Ettumanoor,2360
"Excise Colony,RBZ",1239
Ezhamkulam,3073
F.G.Churian,1739
Faizabad,321
Falakata,4333
Falakata(Dhupguri),3937
"Falaknama,RBZ",1253
Faridabad,483
Faridabad,7777
Faridabad(Fish Market),4274
Faridkot,632
Faridkot (Kotsukhian),4426
Faridkot (Machakikalan),4432
Farukh Nagar,1998
Farukhabad,322
Fatehabad,81
Fatehabad,2550
Fatehgarh Panjtoor,4365
"Fatehkhanpet,RBZ",1234
Fatehnagar,1569
Fatehpur,825
Fatehpur,2853
Fatehpur Sikri,2555
Fazilka,229
Fazilka (Ladhuka),2888
Fefana,8160
Ferozepur Cantt(Jhok Harihar),3830
"Ferozepur Cantt, (Sadehasham)",4445
Ferozepur Cantt.,231
FerozpurZirkha(Nagina),2826
Firozabad,851
Firozepur City,634
"Fish,Poultry &amp; Egg Market, Gazipur",1797
"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",2941
"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",2940
"Flower Market,Gazipur",1795
"Fodder Market, Mangolpuri",1796
Forbesganj,1640
Fruit Market,2473
Fruits &amp; Vegetable(Kalsipalya),4112
Fruits &amp; Vegetable(Singena Agrahara),4111
Fulmbri,2084
Gabadkunda,3923
Gadada,2682
Gadag,753
Gadag(Hulakoti),4131
Gadag(Mulagund),4132
Gadarpur,1117
Gadarwada,2433
Gadaura,2618
Gaddiannaram,399
Gadhi Pratapur,8192
Gadhinglaj,1451
Gadhwah,504
Gadwal,7
Gadwal(Lezza),2775
Gaggarpur,8266
Gairatganj,2442
Gajanaan Krushi Bazar,10103
Gajanan Krushi Utpanna Bazar (India) Pvt Ltd ,10100
Gajapathinagaram,911
Gajol,3633
Gajsinghpur,1561
"Gajuwaka,RBZ,Visakhapatnam",1213
Gajwel,912
Galteshwer,8379
Gamhari,4099
Ganaur,2040
Gandacharra,3929
Gandai,2749
Gandarvakottai(Uzhavar Sandhai ),10215
Gandchiroli,606
Ganderbal,2630
Gandhari,914
"Gandhi Irvin Park(Tenali),RBZ",1228
Gandhinagar RBZ,3556
Gandhinagar(Board),3039
Gandhwani,3060
"Ganesh Chouk,Rajahmundry,RBZ",1215
Gangadhara,913
Gangakhed,1473
Gangapur,1468
Gangapur,2845
Gangapur City,286
Gangapurcity(Old Lal mandi),3143
Gangarampur,3942
Gangarampur(Dakshin Dinajpur),4338
Gangavalli,3696
Gangavathi,119
Gangavathi(Karatagi),4151
Gangoh,1929
Gangrar,8183
Gangtok,287
Ganjbasoda,198
Ganjdudwara,2561
Gannavaram,915
Garadipanchan,4261
Garbeta,3951
Garbeta(Medinipur),4347
Garh Shankar,1587
Garh Shankar(Mahalpur),3106
Garhakota,2462
GarhShankar (Kotfatuhi),4444
Garhshankar(Saila Khurd),2893
Gariyaband,2400
Gariyadar,2680
Garjee,1876
Garobadha,2047
Garoth,4192
Gasuapara,3991
Gattasilli,4034
Gaurella,4060
Gauripur,22
Gautampura,2457
Gaya,32
Gazipur,692
Gehal,8247
Gehri,1572
Gehri(Jandiala mandi),2884
"Gerabari, Korha Block",10016
Gevrai,1514
Ghabdan,8257
Ghajansoo,8270
Ghanaur,1752
Ghanpur,916
Ghansawangi,2389
Ghansour,3056
Gharaunda,2020
Gharghoda,2413
Gharsana,1188
Ghatal,855
Ghatanji,1487
Ghathashi,4245
Ghatol,8180
Ghaziabad,324
Ghiraur,1932
Ghoti,1826
Ghumarwin,8001
Gidam,2771
Giddalur,917
Giddarbaha,643
Gidderpindi,8344
Gingee,304
Gingee(Uzhavar Sandhai ),10291
Gir Gadhda,8406
Giridih,503
Goalpara,1880
Gobichettipalayam,3533
Gobichettipalayam(Uzhavar Sandhai ),10171
Godabhaga,3913
Godda,2059
Godhra,467
Godhra(Kakanpur),3420
Godhra(Timbaroad),2976
Gogamba,1703
Gogamba(Similiya),3020
Gogelav Gram Sewa Sahkari Samiti  Limited,10131
Gohad,1383
Gohana,1120
Gokak,721
Golaghat,408
Golagokarnath,1905
Gollapally,918
Goluwala,1538
Gonda,684
Gondal,65
Gondal(Cattle Market Gondal),3208
Gondal(Veg.market Gondal),2947
Gondiya,1511
Gondpimpri,1502
Goniana,1180
Goniana(Mehma Sarja),3821
Gonikappal,769
Gooti,919
Gopa,4256
Gopal Krishna Agro,10058
"Gopala Patnam Cent.,RBZ,Visakhapatnam",1210
Gopalavaram,920
Gopalganj,1638
Gopalgarh,8100
Gopalpatti,3709
Gopalraopet,8031
Gopichetty,3727
Gopiganj,2144
Gorakhpur,325
Gorakhpur,2734
Goraya,1591
Goregaon,2121
Goreswar,1888
Gosala,3910
Gotegaon,2437
Govardhan Farm Produce Market ,10054
Govindgarh,8103
Gowribidanoor,516
Gram Sewa Sahkaari Limited,10129
Gram Sewa Sahkaari Samitti ,10126
Gubbi,785
Guda(Godaji),8116
Gudalur(Uzhavar Sandhai ),10209
Gudimalkapur,1119
Gudiwada,376
"Gudiwada,RBZ",3566
Gudiyatham,2797
Gudiyatham(Uzhavar Sandhai ),10287
Gudur,921
"Gudur (G. Mpl Park),RBZ",3574
Guduvancheri(Uzhavar Sandhai ),10309
Gulabbagh,39
Gulabganj,3795
Gulavati,1958
Gulbarga,756
Gulburga(Afzalpur),4143
Gulburga(Jhevargi),4144
Gumla,506
Gummidipoondy,3658
Guna,544
Guna(F&amp;V),3887
Gundlupet,521
Gunpur,221
Guntakal,922
Guntur,923
Gurdas Nangal,8238
Gurdaspur,626
Gurgaon,482
Gurm,8246
Guru Har Sahai,235
Gurur,4041
Gurusarai,1925
Guskara,3946
Guskara(Burdwan),4342
Gyalsing,3441
H.B. Halli,537
Haathras,1904
Haatpipliya,2721
Habra,3628
Hadgaon,1518
Hadgaon(Tamsa),2516
Hailakandi,1886
Hajipur,423
Halahali,8214
Haldaur,2568
Haldibari,2921
Haldwani,1111
Halia,924
Haliyala,797
Haliyala(Dandeli),4140
Halol,2663
Halvad,3041
Hamirpur,3454
Hamirpur,490
Hamirpur(Jahu),8066
Hamirpur(Nadaun),2907
Hanagal,534
Hanagal(Hakkihaluru),4139
Hanbran,8233
HandwaraFV,1158
Hanegaon,2393
Hanmarkonda(Rythu Bazar),4308
Hansi,1156
Hansi(Sisai),2828
Hanumana,2740
Hanumangarh,270
Hanumangarh Town,2859
Hanumangarh(Urlivas),3165
Hapur,1900
Harappana Halli,508
Harda,1126
Harda(F&amp;V),3872
Hardoi,327
Hargaon (Laharpur),2590
Hari Har Khajagi Bazar Parisar,10106
Haridwar Union,1112
Harihara,369
Harij,1149
Harike,4361
Harippad,2357
Harnaut,10026
Harpalpur,2694
Harsood,2725
Harur(Uzhavar Sandhai ),10162
Hasanpur,1962
Hasoad,4066
Hasot,2655
Hasot(Elav),3033
Hassan,763
Hassanpur,1996
Hasthampatti(Uzhavar Sandhai ),10227
Hata,2720
Hathan,8263
Hathin,1997
Hathur,1596
Haveri,117
Haveri(Guthal),4136
Hazaribagh,33
Higanghat Infrastructure Private Limited,10081
Himalyatnagar,2133
Himatnagar,469
Himatnagar(Gambhoi),2965
Himatnagar(Veg.Market Himatnagar),2966
Hindol,4266
Hindoli,8134
Hindoun,1186
Hindupur,925
"Hindupur,RBZ",3580
Hinganghat,178
Hingna,4754
Hingoli,590
Hingoli(Kanegoan Naka),2503
Hinjilicut,1685
Hiramandalam,926
Hirapur,4094
Hirekerur,766
Hirekeruru(Rattihalli),4137
Hiriyur,743
Hirnawali,8162
Hissar,84
Hodal,80
Holalkere,3983
Holehaluru(Rona),4134
Holenarsipura,764
Honnali,509
Honnavar,793
Honnavara(Bhatkal),4141
Hoovinahadagali,730
"Horticulture Corp,Caranzalem, Panaji",3956
Hosadurga,517
Hosanagar,3975
Hoshangabad,3071
Hoshiarpur,636
Hoshiarpur(Chara Mandi),2894
Hoshiarpur(Sham Churasi),3107
Hoskote,3982
Hospet,729
Hospet(Kampli),4147
Hospet(Mariyammana halli),4148
Hosur,1848
Hosur(Uzhavar Sandhai ),10185
Howly,403
Howrah,2639
Hubli (Amaragol),116
Huliyar,786
Humanabad,731
Hunagunda(Hilakal),4128
Hungund,715
Hunsur,518
Husnabad,803
Huzumnagar(Garidepally),8008
Huzurnagar,928
Huzurnagar(Matampally),8009
Huzzurabad,927
Hyderabad (F&amp;V),2
Iamailabad,95
Ibrahimpatnam,8014
"Ibrahimpatnam,RBZ",3570
Ibrahimputnam,929
Ichapuram,931
Ichhawar,3045
Ichoda,930
Idar,811
Idar(Jadar),2991
Imphal,608
Indapur,1171
Indapur(Bhigwan),2491
Indapur(Nimgaon Ketki),3964
Indore,3873
Indore(F&amp;V),187
Indravelly(Utnoor),1083
Indri,2021
Indus,3950
Indus(Bankura Sadar),4346
Ipur,932
Irikkur,2371
Irinjalakkuda,2365
Irityy,3092
Isagarh,3058
Islampur,1457
Islampur,364
Islapur,2394
Israna,2027
Itarsi,543
Itawa,1556
J S K Agro Market ,10057
Jaalpali GSS ,10133
Jaavda,8184
Jabalpur,559
Jabalpur(F&amp;V),3898
jafarabad,8374
Jafarganj,1936
Jafrabad,4755
Jagadhri,1985
Jagalur,750
Jagatsinghpur,1661
Jagdalpur,439
Jagdamba Agrocare,10070
Jaggampet,2268
Jaggayyapeta,934
"Jaggayyapeta (G.Hospital),RBZ",3567
"Jagityal Rythu Bazar,RBZ",3588
Jagjitpura,8248
Jagnair,2553
Jagraon,238
Jagtial,933
Jahajharpur,1656
Jahajpur,8090
Jahanabad,1944
Jahangirabad,2536
Jai Gajanan Krishi Bazar,10113
Jaijaipur,2758
Jainagar,1655
Jainath,936
Jainoor,935
Jaipur (Grain),275
Jaipur(Bassi),3151
Jaipur(F&amp;V),273
Jaipur(Grain)(Chandpole),3137
Jaipur(Grain)(Sodala),3153
Jairamnagar,2409
Jaisalmer,656
Jaisinagar,8317
Jaitaran,1781
Jaitgiri,4084
Jaithari,3806
"Jaitipir Mandi, Lalganj block",10039
Jaitsar,1562
Jaitu,1577
Jaitu(Bajakhana),2891
Jajpur,215
Jakhal,2009
Jakhrawali ,8147
Jalagandapuram(Uzhavar Sandhai ),10230
Jalalabad,1964
Jalalabad,230
Jalalpor,8396
Jalana,158
Jalandhar Cantt (Jamshedpur Dana Mandi),3099
Jalandhar Cantt(Hoshiarpur Road),2874
Jalandhar Cantt.,1744
Jalandhar City,627
Jalandhar City(Faintan Ganj),2873
Jalandhar City(Jalandhar),2872
Jalandhar City(Kartar Pur Dana mandi),3098
Jalaun,1968
Jaleswar,1671
Jalgaon,159
Jalgaon Jamod(Aasalgaon),2505
Jalgaon(Jamod),598
Jalgaon(Masawat),2480
Jalkot,3112
Jalna(Badnapur),2501
Jalore,657
Jalpaiguri Sadar,702
Jalukie,206
Jam Jodhpur,1791
Jam Khambalia,1790
Jamakhandi,716
Jamanian,2609
Jambudhoda,8381
Jambusar,1418
Jambusar(Kaavi),3007
Jameenrayapettai(Uzhavar Sandhai ),10308
Jamkandorna,1785
Jamkhed,1430
Jammalamadugu,937
Jammikunta,4
Jammu (Grain Mandi),1159
Jamnagar,459
Jamner,1442
Jamner(Neri),2481
Jamshedpur,31
Jamshere,8342
Jamtara,2161
Jamui,1651
Janata Agri Market (DLS Agro Infrastructure Pvt Lt,10112
Jand Mangoli,8223
Jangaon,938
Jangipur,857
Jangipura,3444
Janta Market,2861
Jaora,1127
Jarar,2554
Jasdan,809
Jasdan(Vichhiya),2993
Jaspur,444
Jaspur(UC),1838
Jasra,1939
Jasvantnagar,1945
Jatara,2738
Jatni,1176
Jaunpur,329
Javad,3134
Javer,2542
Javera,2471
Jawala-Bajar,2093
Jawali,2082
Jawar,8308
Jayal,8436
Jayamkondam,299
Jayas,1917
Jaydeep Bhandaran(warehouse) ,10125
Jaykissan Krushi Uttpan Khajgi Bazar ,10095
Jaysingpur,1452
Jeerapur,2448
Jehanabad,1634
Jepur Pavi(Chackak),3432
Jetalpur (A&#39;bad City),8403
Jetpur(Dist.Rajkot),1783
Jetpur-Pavi,3042
Jeyankondam (Uzhavar Sandhai ),10145
Jeypore,222
Jeypore(Kotpad),3124
Jhabua,2459
Jhagadiya,1720
Jhajjar,479
Jhalap,4012
Jhalarapatan,659
Jhalod,1413
Jhana chank,8165
Jhansi,693
Jhargram,3634
Jharsuguda,1259
Jhijhank,1927
Jhumpura,3918
Jhunir,8076
Jhunjhunu,662
Jiaganj,4339
Jiaganj(Lalbagh),3943
Jind,484
Jintur,591
Jintur(Bori),2502
Jobat,2732
Jodhewala,8170
Jodhpur (Grain)(Mandor),280
Jodhpur(F&amp;V)(Bhadwasia),279
Jodhpur(F&amp;V)(Paota),3142
Jodhpur(Grain)(Bhagat Ki Kothi),3138
Jodhpur(Grain)(Phalodi),3152
Jodiya,2988
Jogipet,800
Jollian,8258
Jora,3799
Jorhat,409
Jotana,8361
Jourian,8275
Jowai,567
Jui,1992
Jullana,2012
Jullapally,8013
Jumpuijala,3926
Junagadh,460
"Junagadh(Veg,Yard, Junagadh)",2968
Junagarh,216
Jundla,2022
Junnar,1455
Junnar(Alephata),3958
Junnar(Bhlhe),3959
Junnar(Narayangaon),3960
Junnar(Otur),2492
Jurhera,8095
Jwaklaji,4325
Jwalaji,3980
K.Mandvi,1148
K.R. Pet,523
K.R.Nagar,122
Kada,1515
Kada(Ashti),3966
Kadaiyampatti,10049
Kadamtala,8219
Kadana,8408
Kadaura,2598
Kadhle,3442
Kadi,1401
Kadi(Kadi cotton Yard),2996
Kadiri,939
Kadodara,8392
Kadthal,8039
Kadur,736
Kagaznagar,940
Kahalgaon,1646
Kahithapattarai(Uzhavar Sandhai ),10288
Kahnuwan,1740
Kai Madhavrao Pawar Khajgi Krushi Utappan Bazar Sa,10096
Kaij,1517
Kaikaluru,375
Kailaras,1384
Kaimur,10020
Kairana,2547
Kaithal,87
Kakinada,941
"Kakinada(R.T.C) ,RBZ",3555
Kakinda(Rythu Bazar),4293
Kakni,4081
Kal Jharani,8334
Kala Afgana,8239
Kaladhungi(Naveen Mandi Sthal),4328
Kalagategi,531
Kalahandi(Dharamagarh),3125
Kalamb,2109
Kalamb(Osmanabad),1764
Kalamnuri,1830
Kalanaur,1741
kalanwali,99
Kalapipal,2447
Kalavai,1842
Kalawad,1147
Kalawali(Odhan),2840
Kalayat,2017
Kaliaganj,365
Kalidindi,2281
Kalikiri,3811
Kalimpong,704
Kalipur,4341
Kalipur(Champadanga),3945
Kaliyanchanda,4389
Kallachi,2157
Kallakurichi,1361
Kallakurichi(Uzhavar Sandhai ),10311
Kalliakavillai,4370
Kallur,943
Kalluru,8026
Kalmeshwar,1505
Kalna,351
Kalol,465
"Kalol(Veg,Market,Kalol)",2957
Kalpetta,150
Kalpi,1977
Kalsi,3930
Kalvan,1447
Kalwakurthy,944
Kalyan,177
Kalyan(Cattle Market),3963
Kalyandurg,942
Kalyani,2638
Kalyanpur,3925
Kalyanpur,8277
Kalyanpur,8414
Kama,260
Kamakhyanagar,1674
Kamakshi,4376
Kamalapuram,945
Kamalghat,8213
Kamareddy,16
Kambainallur,3746
Kambam(Uzhavar Sandhai ),10243
Kamlaganj,2581
Kamling,849
Kammarpally,4394
Kamrej,8389
Kamthi,3972
Kamuthi,3742
Kamuthi(Uzhavar Sandhai ),10220
Kanagal,8021
Kanakapura,719
Kanayakumari,3614
Kanchanpur,8216
Kanchanpur  GSS,10138
"Kancharlapalem,RBZ",1356
Kancheepuram(Uzhavar Sandhai ),10176
Kanchekacherla,947
"Kanchekacherla,RBZ",3565
Kanchili,946
Kanchipuram,1621
Kandhala guru,8338
Kandhamal,1682
Kandhar,1519
Kandi,2637
Kandiyaperi(Uzhavar Sandhai ),10250
Kandukur,948
"Kandukur (MRO Complex),RBZ",3573
Kang Khurd,8345
Kangayam(Uzhavar Sandhai ),10326
Kangeyam,3534
Kangra,75
Kangra(Baijnath),2912
Kangra(Jaisinghpur),2915
Kangra(Jassour),2914
Kangra(Nagrota Bagwan),2913
Kanhmun,2141
Kanigiri,949
Kanispora Baramulla (F&amp;V),497
Kanjangadu,2376
Kanjirappally,2361
Kanker,441
Kankipadu,4357
Kankrej,8355
Kankwal Chahlan,8083
Kannad,1469
Kannauj,1892
Kannod,2445
Kannur,137
Kanpur(Grain),330
Kantabaji,213
Kapadanj(Moti Jaher),3008
Kapadvanj,1423
Kaparada,8398
Kapasan,2856
Kapren,8133
Kapurthala,236
Karad,1459
Karaikal,4356
Karaikudi,3741
Karaikudi(Uzhavar Sandhai ),10234
Karamadai,2807
Karambakkudi(Uzhavar Sandhai ),10216
Karanja,593
Karanjia,1670
Karapa,3957
Karatgi,3974
Karauli,8435
Kareli,2424
Karera,2714
Karhi,2696
Karimganj,1887
Karimnagar,3
Karimnagar(Rythu Bazar),4295
Karimpur,362
Karimpuzha,4385
Kariyapatti(Uzhavar Sandhai ),10298
Karjan,1199
Karjat,1446
Karjat(Raigad),1425
Karjat(Rashin),2474
Karkala,519
Karmala,1465
Karnailganj,1937
Karpawand,4088
Karsiyang(Matigara),4335
Karumanturai,3697
Karur,3719
Karur(Uzhavar Sandhai ),10180
Karuvannur,8307
Karvi,2145
Karwar,791
Kasargod,540
Kasdol,2399
Kasganj,1192
Kashipur,338
"Kashmir Gadda Area,RBZ",1243
Kasimbazar,361
Kasinagar,3908
Kasipur,4349
Kasipur(Jhalda),3953
Kasrawad,2703
Kaswa,1641
Katangi,2470
Kataram,950
Katghora,2411
Kathalapur,3812
Kathghora(Kharmora),8054
Kathlal,1198
Kathua,2521
Kathumar,8108
Katihar,34
Katni,188
Katni(F&amp;V),3900
Katol,1506
Katosan,8363
Katpadi,3679
Katpadi (Uzhavar Sandhai ),10286
Katpadi(Uzhavar Santhai),3790
Katra,3448
Katron,8260
Kattakada,2148
Kattappana,3083
Kattumaner koil,2800
Katwa,352
Kavali,951
"Kavali,RBZ",3575
Kavaratti,151
Kaveripakkam,3678
Kaveripattinam(Uzhavar Sandhai ),10187
Kavunthapadi,1369
Kawant,2658
Kawant(Panvad),3434
Kawardha,431
Kayamganj,1911
Kayamkulam,2356
Kayamkulam(Alleppey),131
Kedar,4073
"Kedareshwari peta, Vijayawada,RBZ",1222
Keelkattalai(Uzhavar Sandhai ),10307
Keelpennathur(Uzhavar Sandhai ),10275
Keezhampara,4380
Kekri,1525
Kendrapara,214
Kendrapara(Marshaghai),3127
Kendupatna,1660
Kendupatna(Niali),3129
Keolari,2465
Keonjhar,1678
Keonjhar(Dhekikote),3128
Keonjhar(Jhumpura),3122
Kesamudram,400
Kesarisinghpur,1563
Keshkal,2414
Keshod,2674
Keshopur,445
Keshoraipatan,2851
Keshranand Cotex ,10056
Kesinga,217
Kesli,3055
Khachrod,2708
Khadur Sahib,1727
Khadur Sahib(Fetehabad),2885
Khaga,2602
Khagaria,425
Khair,1934
Khairagarh,2552
Khairlangi,8327
Khairthal,256
Khajuwala,1532
Khalanpur,2062
Khalilabad,2617
Khamano,1620
Khamano (Sanghol),4409
Khambha,2671
Khambhaliya,8413
Khambhat,73
Khambhat(Grain Market),2974
Khambhat(Veg Yard Khambhat),2975
Khamgaon,156
Khamhariya,4042
Khammam,5
Khanapur,952
Khanauri,1615
Khandar,8130
Khandwa,547
Khandwa(F&amp;V),3877
Khaniadhana,2469
Khanina,2034
Khanna,237
Khanpur,2665
Khanpur,1557
Khanpur,8264
Khanyadhana,4220
Kharar,1612
Khargapur,8323
Khargone,548
Khariar,4253
Khariar Road,620
Kharora,4008
Kharsiya,437
Kharupetia,21
Khatauli,677
Khateema,696
Khategaon,1378
Khatora,3797
Khatra,3629
Khavada,8351
Khed,173
Khed(Chakan),2493
Khed(Shel Pimpalgaon),4753
Kheda,2686
Kheda(Nayaka),3018
Khedbrahma,1398
Khedbrahma(Lambadia),2989
Khedbrahma(Posina),2990
Khedh(Bodaramev),3149
Khedli(laxmangarh),3161
Kheenwsar,8437
Khegsu,3981
Khekda,2535
Khem karan,1728
Khemkaran (Amarkot),4401
Kheragarh,2406
Khergam,8397
Kherli,257
Khetia,2692
Khetri,8119
Khiali,8249
Khilchipur,2702
Khirakiya,2423
Khizrabad,8047
Khliehriat,3988
Khokhar,8070
Khokhar Khurd,8078
Khonsa,1864
Khor,8276
"Khoya Market, Kashmiri Gate",1798
Khujner,2724
Khultabad,2387
Khunthabandha,3909
Khunti,2061
Khurai,1385
Khurbtang-Kargil,501
Khurja,1928
Khuzama,205
Kianthukadavu,2809
Kicchha,344
Kila Raipur,1746
Killa Raipur (Jodhan),4413
Kille Dharur,2122
Killi Nihal Singh Wala,8337
Kilpennathur,3665
Kilvelur,8289
Kim,8386
Kinwat,2129
Kipheri,4251
Kiratpur,2566
Kisan Market Yard,10062
Kisan Seva Private Market,10072
Kishan Renwal(Fulera),3162
Kishan Renwal(Sambhar),3163
Kishanganj,420
Kishangarh,8287
Kishangarh Renwal,276
Kishangarh SS Wala ,8088
Kishangarhbas,8425
Kishanpura borda,8125
Kishunpur,1942
Kizhakkancheri,8305
KKNagar(Uzhavar Sandhai ),10278
Kochas (Balthari),10030
Kodad,801
"Kodad,RBZ",3594
Kodaikkanal(Uzhavar Sandhai ),10167
Kodakandal,954
Kodangal,8050
Koderma,507
Kodinar,1786
Kodinar(Dollasa),2997
Kodumgalloor,2363
Kodumudi,1106
Kodungalloor,148
Koduru,953
Koduvayoor,144
Kohima,1873
Koilkunta,955
Kolaghat,3952
Kolaghat,4348
Kolar,120
Kolaras,2449
Kolasib,611
Kolathur,3691
Kolayat,8115
Kolhapur,160
Kolhapur(Laxmipuri),2489
Kolhapur(Malkapur),2490
Kollam,139
Kollapur,956
Kollegal,522
Kollengode,2368
Komakhan,4016
Konch,1912
Kondagoan,440
Kondapi,957
Kondotty,3091
Konganapuram,3690
Konganapuram (Agri. Coop. Marketing Society),3794
Konta,442
Koovapadi,4378
Kopaganj,1889
Kopargaon,1431
Koppa,739
Koppal,121
Koradacheri,2626
Koraput,617
Koraput(Semilguda),1862
Korar,4107
Koratagere,8296
Koratla,958
Koreana,8072
Koregaon,1460
Korpana,2114
Kosamba,1710
Kosamba(Vankal),3435
Kosamba(Zangvav),3436
Kosgi,959
Kosikalan,1195
Kosli,2035
Kot ise Khan,1735
Kot Santokh Rai,8240
Kota,2754
Kota,281
Kota (FV),2866
Kota(Mandana),3147
Kotadasagani,8370
Kotadwara,1115
Kotagiri,8041
Kotba,4075
Kotdi,8091
Kothabommali,960
Kothagiri(Uzhavar Sandhai ),10208
Kothagudem,8027
Kothagudem,389
"Kothagudem P.Stadium,RBZ",3590
Kothamangalam,3085
Kothamba,8409
"Kothapatnam B.Stand,RBZ",1230
Kothapeta,962
Kothara,8353
Kothavalasa,961
"Kothpet,RBZ",1238
Kotkapura,228
Kotma,3807
Kotmi,4067
Kotputli,1545
Kotputli(Pawla),3159
Kottakkal,2155
Kottarakkara,3072
Kottayam,140
Kottur,728
Kovilpatti,2791
Kovilpatti(Uzhavar Sandhai ),10268
Kovur,963
Kovvur,964
"Kovvur,RBZ",3559
Koyambedu,3599
Krishnagiri,1847
Krishnagiri(Uzhavar Sandhai ),10186
Krosuru,965
Krushna Krishi Bazar ,10094
Kuber,966
Kuchaman City,284
Kuchinapudi,3810
Kuchinda,1667
Kudavasal,2625
Kudchi,722
Kuhuboto,1869
Kukanar,4090
Kukar pind,8339
Kukatpally(Rythu Bazar),4304
"Kukatpally,RBZ",1247
Kukshi,1372
Kulai,711
Kulasekaram,3750
Kulgam,2517
Kulithalai(Uzhavar Sandhai ),10181
Kullu,76
Kullu(Chauri Bihal),2909
Kullu(Patli Kuhal),2908
kum Kalan,8228
Kumarapalayam(Uzhavar Sandhai ),10203
Kumbakonam,301
Kumbakonam (Uzhavar Sandhai ),10238
Kumbhraj,1382
Kumta,792
Kunda,4051
Kundagol,751
Kundalwadi,1829
Kundanpur,8143
Kundapura,845
Kundrathur(Uzhavar Sandhai ),10179
Kunganwai,8038
Kunigal,787
Kunjpura,2023
Kunkuri,2761
Kunnathukkal,4372
Kunnathur,3535
Kuntur,2135
Kuppam,967
Kurali,1613
Kurara,2600
Kurawar,2698
Kurdwadi,1466
Kurdwadi(Modnimb),2498
Kurichi(Uzhavar Sandhai ),10150
Kurinchipadi,2799
Kurnool,968
Kurnool(Rythu Bazar),4299
Kurud,184
Kurung Kumey,2918
Kurupam,969
Kuruppanthura,2151
Kurwai,2745
Kushtholy,8206
Kusmee,2767
Kustagi,775
Kustagi(Hanumasagar),4152
Kuthuparambu,2373
Kutiyana,2685
Kuttoor,3075
Kuttulam,3713
Kutumba,10002
Kwat,8410
L B Nagar,3815
L.R.Palli,2184
Ladhuwala,8168
Ladwa,92
Lahar,2739
Lairagaga,252
Lakhandur,1496
